District,StopCount
Phường Ba Đình,40
Phường Bạch Mai,41
Phường Bồ Đề,58
Phường Chương Mỹ,36
Phường Cầu Giấy,59
Phường Cửa Nam,46
Phường Dương Nội,64
Phường Giảng Võ,38
Phường Hai Bà Trưng,37
Phường Hoàn Kiếm,25
Phường Hoàng Liệt,22
Phường Hoàng Mai,116
Phường Hà Đông,180
Phường Hồng Hà,27
Phường Khương Đình,24
Phường Kim Liên,29
Phường Kiến Hưng,40
Phường Long Biên,41
Phường Láng,28
Phường Lĩnh Nam,28
Phường Nghĩa Đô,43
Phường Ngọc Hà,21
Phường Phú Diễn,25
Phường Phú Lương,11
Phường Phú Thượng,20
Phường Phúc Lợi,57
Phường Phúc Yên,13
Phường Phương Liệt,26
Phường Song Liễu,1
Phường Thanh Liệt,42
Phường Thanh Xuân,35
Phường Thượng Cát,23
Phường Tây Hồ,46
Phường Tây Mỗ,47
Phường Tây Tựu,21
Phường Tương Mai,36
Phường Từ Liêm,68
Phường Từ Sơn,22
Phường Việt Hưng,57
Phường Văn Miếu - Quốc Tử Giám,18
Phường Vĩnh Hưng,18
Phường Vĩnh Tuy,23
Phường Xuân Hòa,3
Phường Xuân Phương,37
Phường Xuân Đỉnh,40
Phường Yên Hòa,53
Phường Yên Nghĩa,29
Phường Yên Sở,30
Phường Ô Chợ Dừa,21
Phường Đông Ngạc,40
Phường Đại Mỗ,36
Phường Định Công,66
Phường Đống Đa,35
Thành phố Hà Nội,12540
Tỉnh Bắc Ninh,97
Tỉnh Hưng Yên,156
Tỉnh Phú Thọ,64
Việt Nam,3326
Xã An Khánh,58
Xã Bát Tràng,46
Xã Bình Minh,44
Xã Chương Dương,12
Xã Dân Hòa,33
Xã Gia Lâm,188
Xã Hoài Đức,27
Xã Hòa Phú,38
Xã Hồng Vân,19
Xã Kim Anh,26
Xã Mê Linh,44
Xã Nam Phù,21
Xã Ngọc Hồi,30
Xã Như Quỳnh,28
Xã Nội Bài,78
Xã Phù Đổng,35
Xã Phúc Sơn,8
Xã Phúc Thịnh,91
Xã Phụng Công,74
Xã Quang Minh,30
Xã Quảng Bị,84
Xã Sóc Sơn,84
Xã Sơn Đồng,20
Xã Tam Giang,5
Xã Tam Hưng,25
Xã Thanh Oai,37
Xã Thanh Trì,37
Xã Thiên Lộc,56
Xã Thuận An,36
Xã Thư Lâm,61
Xã Thường Tín,33
Xã Thượng Phúc,18
Xã Tiến Thắng,28
Xã Trung Giã,8
Xã Văn Giang,4
Xã Văn Môn,9
Xã Vĩnh Thanh,29
Xã Ô Diên,28
Xã Đa Phúc,50
Xã Đông Anh,96
Xã Đại Thanh,15
Xã Đại Đồng,2
Xã Ứng Thiên,12
